,category,discounted_price,actual_price,discount_percentage,rating,rating_count,review_title
179,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",799.0,1999.0,60.0,3.3,576.0,"Compatibility,Good one but voice not working propoer,Good but needs improvement in quality,Not strong,Works good,Waste of money,Works well,Don't buy... This remote"
180,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",205.0,499.0,59.0,3.8,313.0,"Poor plastic Material but it works.,Very cheap material but it works...,Good one,Working on par with original,Working well , quality is okay,Value for money,Not for good,It looks like original"
181,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,699.0,57.0,4.1,2957.0,"Good quality product and long lasting.,Ok,Really fast.,Yes good,Cable speed,Goid,Working fine,Just worth it"
182,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,849.0,999.0,15.0,4.1,6736.0,"Reliability,Best non apple usb to lightning cable,Good,Good quality using since a year,Good,Very good product,Nice cable,Worth Your Money and best alternative"
183,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,949.0,1999.0,53.0,4.4,13552.0,"Good,Worth to buy,Great value for price,Good product,Nice product.,Reliable and worth it!,Much more sturdy and durable than Apple cable,Good"
184,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,499.0,1200.0,58.0,4.3,5451.0,"Overall it's a good product for mobile charging.,Awesome 😎,Gud data cabel....,Very good USB C TO USB C Cable .The one does not entangle to develop fold leading to cracks and cuts,Best,Rigid and high quality,Super durable,Great i have been using for 6 month"
185,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,485.0,38.0,4.3,10911.0,"High price,Good quality,Go for it,3.0,Thank you Amazon,Awesome buy,Ok,Nice product"
186,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,949.0,1999.0,53.0,4.4,13552.0,"Good,Worth to buy,Great value for price,Good product,Nice product.,Reliable and worth it!,Much more sturdy and durable than Apple cable,Good"
187,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,379.0,1099.0,66.0,4.3,2806.0,"Good material, fast charging,Costly but good product,Support type c super fast charging,Good quality,Sturdy cable & has decent charging capabilities.,Good buy.,Gud product.,Very good product"
188,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",8990.0,18990.0,53.0,3.9,350.0,"A budget Android TV,Wall Mount was missing from tv pack,Good,Good product but installation service is not good,Nice product ☺️👍,i am very satisfied,Good,Very good product in this price"
189,"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",486.0,1999.0,76.0,4.2,30023.0,"Value for Money,A good upgrade from stock cable.,GOOD CABLE,Value for the money,Great buy,Overall good,Awesome experience,Worked as expected"
190,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",5699.0,11000.0,48.0,4.2,4003.0,"Firestick plugging in issue, otherwise a good deal,Cheap & Best Product,Low budget led tv,Nice tv,Very. Good,Why is the installation guy asking for installation charge?,Good Budget Tv,Good TV but after using it for 9 days, has found a flaw"
191,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,709.0,1999.0,65.0,4.1,178817.0,"Data transfer not the best,Good cable for iphone,Working Good,Best quality,Fast charging,Genuine product,Nice product,Good"
192,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",47990.0,70900.0,32.0,4.3,7109.0,"Best(Branded) Budget TV,A high-quality 4k Smart TV from Samsung,Received Defective,Got Replacement,Nice product but,Tv is good,Best budget tv,Value for money. Samsung is always good,Value for money product"
193,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",299.0,1199.0,75.0,3.7,490.0,"Works just fine for my vu tv,Quality to be improve,Good,Good product,Value for money 👍,Works fine with Vu smart TV,Good Product. Suitable for VU,Ok, Quality can be improved"
194,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,320.0,599.0,47.0,4.1,491.0,"Good product,Good product,Built and charge power,Nice product Happy to buy,Not recommended,Good quality but charge little slow,Stopped working within 6 months,Value for money"
195,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,139.0,549.0,75.0,3.9,61.0,"Terrible,Charging status,Good quality,good charging,Nice product,Waste of Money.,Fast Charging Cable,Charching"
196,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,129.0,249.0,48.0,4.0,9378.0,"Worked on iPhone 7 and didn’t work on XR,Good one,Dull Physical Looks,Just Buy it,Go for it,About the product,Get charging cable at the price,Working well."
197,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",24999.0,35999.0,31.0,4.2,32840.0,"It is the best tv if you are getting it in 10-12k,Good price but the OS lags,GARBAGE QUALITY,Good product.,Good quality,Great experience everything is fantastic 🤠,Super picture quality and sound quality,Awesome"
198,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,999.0,1699.0,41.0,4.4,7318.0,"You might be able to get away by using other usb too,Built well but there are flaws.,Good alternative for Apple cable,Good alternative,Best buy,Good,Value for Money,Works as advertised."
199,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,225.0,499.0,55.0,4.1,789.0,"Good product,Working,Something is better than nothing,Average,Good,good product,Good work,Good"
200,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",547.0,2999.0,82.0,4.3,407.0,"Fitting issue,Perfect fit good quality product,good product,👌🏻Fit, 👍🏻cost wise, 👍🏻👍🏻material.,Wonderful product,Good for. New remote.,Nice product,Perfect for samsung frame series solar remote"
201,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,259.0,699.0,63.0,3.8,2399.0,"Useful but the length is a bit short,This product is overpriced,Not proper,good,Happy to get it,USB Cable,good,Theek hi h"
202,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",239.0,699.0,66.0,4.4,2640.0,"Excellent solution for Sony TVs,Worth purchase,Very bad,Bad product,Remote,Good quality"
203,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",349.0,999.0,65.0,4.0,839.0,"Damaged product,Good quality aa well as fit,Good but fits loose at top, bit tight at bottom.,Fits the Samsung Smart TV Remote Perfectly!!,Perfectly fitted,Costly but good,Average product,A worthy product"
204,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",467.0,599.0,22.0,4.4,44054.0,"BEST WITH BOAT & LG SMART TV,This product is overpriced,Good picture quality, sturdy,It worked when I connect with soundbar to the smart TV,Good 👍,Good quality product my solve screen onn off,Ok,This cable support HDMI arc, but each time we have to select port in TV"
205,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,449.0,599.0,25.0,4.0,3231.0,"It works,Reasonably Good Product,Very usefull,Work with iPod perfectly.,Not a good product,Wonderful Product and fast charging,Nice cable,Usefull to me"
206,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",11990.0,31990.0,63.0,4.2,64.0,"Worth of money,There is no 8 gb storage only 2.8 is there,Superb quality,Good product,Nice product for tcl android smart tv,TCL 32inch android tv good quality and rate,Nice smart Tv,Paisa vasul"
207,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,350.0,599.0,42.0,3.9,8314.0,"They did what they said... Sent a replacement when complained...,Charging Rapidly on Replacement,They did what they said... Sent a replacement when complained...,Capacity,Not original but worth buying,Does not support fast charging,Good,Good quality"
208,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,252.0,999.0,75.0,3.7,2249.0,"Value for money,faulty product,Must buy,Best one,Fine with the charger,Not upto the mark…one time usage product,Value for money,review"
209,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",204.0,599.0,66.0,3.6,339.0,"its not Universal,Tatasky remote from Amazon is cheapest, best,Good services by amazon,Okay product,1 item missing,Nice product,Ok,Good for general use"
210,"Electronics|HomeTheater,TV&Video|Projectors",6490.0,9990.0,35.0,4.0,27.0,"Beat projector for good price,Value for money,Excellent,Wow!!! Just wow!! 🔥🔥,Recently purchased and started using from yesterday,It's beautiful, premium portable useful gadget,Brightness is excellent.,Experience"
211,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",235.0,599.0,61.0,3.5,197.0,"Value for money,Does the job,Waste of money product,Ok types,Waste product,Good for the price and works well with Tatasky remote,Don't buy it,It works"
212,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,800.0,63.0,4.5,74977.0,"Nice,good,Paisa vassol,Sturdy and long.,Good for the price and great quality.,Works as expected,Good,Good"
213,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,799.0,1999.0,60.0,4.2,8583.0,"Perfect cable for my use. Far better than the apple cable provided with my Ipad,Good buy,Good quality,Amazing build quality superb power full fast cable for my iPhone 11 pro,Good Product (Rated 5 star earlier but now reduced to 3 star as it stopped working within 6 months),Not so great,Good,Good product"
214,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",299.0,999.0,70.0,3.8,928.0,"Good compatibility,Good Product,Good nice serves the purpose ..Build quality is also good .,Not meet the anticipation.,Good,Nive product worth for money.,Horrible experience,Thanks for prompt replacement."
215,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",6999.0,16990.0,59.0,3.8,110.0,"Nice,Nice product,Value for money,Karbonn,Good,Nice product,Not suitable for external monitor purpose,Good"
